label,description,ols
basin,Basin (HUC6) containing worksite,x
project_source,Organization reporting project to PNSHP,x
ua_dist,"Distance to Census desginated ""urban area""",x
uc_dist,"Distance to Census designated ""urban cluster""",
emp_agforest,Number of employees in agriculture and forestry sector in county (Census County Business Patterns data),x
emp_const,Number of employees in construction sector in county (Census County Business Patterns data),x
emp_manuf,Number of employees in manufacturing sector in county (Census County Business Patterns data),
emp_wholesale,Number of employees in wholesale sector in county (Census County Business Patterns data),
emp_retail,Number of employees in retail sector in county (Census County Business Patterns data),
emp_transport,Number of employees in transport sector in county (Census County Business Patterns data),
emp_info,Number of employees in information sector in county (Census County Business Patterns data),
emp_finance,Number of employees in finance sector in county (Census County Business Patterns data),
emp_realestate,Number of employees in real estate sector in county (Census County Business Patterns data),
emp_profsci,Number of employees in professional and science sector in county (Census County Business Patterns data),
emp_admin,Number of employees in administrative sector in county (Census County Business Patterns data),
emp_health,Number of employees in health sector in county (Census County Business Patterns data),
emp_arts,Number of employees in arts sector in county (Census County Business Patterns data),
emp_food,Number of employees in food service sector in county (Census County Business Patterns data),
emp_other,Number of employees in other sectors in county (Census County Business Patterns data),
popdens_cat,Population density in catchement (NHDPlus V2.1 Selected Attributes data),
popdens_acc,... flow accumulated upstream catchements,
popdens_tot,... all upstream catchements,
hdens_cat,Housing density in catchement (NHDPlus V2.1 Selected Attributes data),x
hdens_acc,... flow accumulated upstream catchements,
hdens_tot,... all upstream catchements,
nlcd_barren_cat,NLCD barren land cover in catchement (NHDPlus V2.1 Selected Attributes data),
nlcd_barren_acc,... flow accumulated upstream catchements,
nlcd_barren_tot,... all upstream catchements,
nlcd_crop_cat,NLCD cropland land cover in catchement (NHDPlus V2.1 Selected Attributes data),
nlcd_crop_acc,... flow accumulated upstream catchements,
nlcd_crop_tot,... all upstream catchements,
nlcd_devhigh_cat,"NLCD developed, high-intensity land cover in catchement (NHDPlus V2.1 Selected Attributes data)",
nlcd_devhigh_acc,... flow accumulated upstream catchements,
nlcd_devhigh_tot,... all upstream catchements,
nlcd_devlow_cat,"NLCD developed, low-intensity land cover in catchement (NHDPlus V2.1 Selected Attributes data)",
nlcd_devlow_acc,... flow accumulated upstream catchements,
nlcd_devlow_tot,... all upstream catchements,
nlcd_devmed_cat,"NLCD developed, medium-intensity land cover in catchement (NHDPlus V2.1 Selected Attributes data)",
nlcd_devmed_acc,... flow accumulated upstream catchements,
nlcd_devmed_tot,... all upstream catchements,
nlcd_devopen_cat,"NLCD developed, open space land cover in catchement (NHDPlus V2.1 Selected Attributes data)",
nlcd_devopen_acc,... flow accumulated upstream catchements,
nlcd_devopen_tot,... all upstream catchements,
nlcd_forcon_cat,"NLCD forest, coniferous land cover in catchement (NHDPlus V2.1 Selected Attributes data)",
nlcd_forcon_acc,... flow accumulated upstream catchements,
nlcd_forcon_tot,... all upstream catchements,
nlcd_fordec_cat,"NLCD forest, deciduous land cover in catchement (NHDPlus V2.1 Selected Attributes data)",
nlcd_fordec_acc,... flow accumulated upstream catchements,
nlcd_fordec_tot,... all upstream catchements,
nlcd_formix_cat,"NLCD forest, mixed land cover in catchement (NHDPlus V2.1 Selected Attributes data)",
nlcd_formix_acc,... flow accumulated upstream catchements,
