fpb_ftr_id,fpb_long,fpb_lat,fpb_site_id,fpb_rev_dt,fpb_o_ftr_id,fpb_o_nm,fpb_o_site_id
1,-123.75127237,42.85632375,1,20190927,BLMMed23750028564,USBLM-OR-Medford,BLMMed23750028564
2,-123.7786661,42.8671364,2,20190927,BLMMed23777428673,USBLM-OR-Medford,BLMMed23777428673
3,-123.70081846,42.85327429,3,20190927,BLMMed23699628534,USBLM-OR-Medford,BLMMed23699628534
4,-123.69900177,42.87464292,4,20190927,BLMMed23697828748,USBLM-OR-Medford,BLMMed23697828748
5,-123.6980256,42.8725086,5,20190927,BLMMed23696828726,USBLM-OR-Medford,BLMMed23696828726
6,-123.7041921,42.87272485,6,20190927,BLMMed23703628730,USBLM-OR-Medford,BLMMed23703628730
7,-123.73027159,42.86041268,7,20190927,BLMMed23729028605,USBLM-OR-Medford,BLMMed23729028605
8,-123.73383085,42.85861084,8,20190927,BLMMed23732628587,USBLM-OR-Medford,BLMMed23732628587
9,-123.73601651,42.85869095,9,20190927,BLMMed23734828588,USBLM-OR-Medford,BLMMed23734828588
10,-123.73603937,42.85967844,10,20190927,BLMMed23734828598,USBLM-OR-Medford,BLMMed23734828598
11,-123.73052704,42.85905726,11,20190927,BLMMed23729328592,USBLM-OR-Medford,BLMMed23729328592
12,-123.660166,42.81933207,12,20190927,BLMMed23658928194,USBLM-OR-Medford,BLMMed23658928194
14,-123.65387404,42.84020012,14,20190927,BLMMed23652628403,USBLM-OR-Medford,BLMMed23652628403
15,-123.73762803,42.85821113,15,20190927,BLMMed23736428583,USBLM-OR-Medford,BLMMed23736428583
16,-123.73880689,42.85762142,16,20190927,BLMMed23737628577,USBLM-OR-Medford,BLMMed23737628577
17,-123.73791229,42.85627665,17,20190927,BLMMed23736728564,USBLM-OR-Medford,BLMMed23736728564
18,-123.73694591,42.85715726,18,20190927,BLMMed23735728573,USBLM-OR-Medford,BLMMed23735728573
19,-123.7356141,42.85777984,19,20190927,BLMMed23734428579,USBLM-OR-Medford,BLMMed23734428579
20,-123.73433845,42.85790026,20,20190927,BLMMed23733128580,USBLM-OR-Medford,BLMMed23733128580
22,-123.72432938,42.86315425,22,20190927,BLMMed23723128633,USBLM-OR-Medford,BLMMed23723128633
23,-123.72423493,42.86525311,23,20190927,BLMMed23723028654,USBLM-OR-Medford,BLMMed23723028654
24,-123.72554595,42.8549246,24,20190927,BLMMed23724328550,USBLM-OR-Medford,BLMMed23724328550
25,-123.72600462,42.85396311,25,20190927,BLMMed23725428538,USBLM-OR-Medford,BLMMed23725428538
26,-123.7280995,42.86257158,26,20190927,BLMMed23726928627,USBLM-OR-Medford,BLMMed23726928627
27,-123.72844214,42.86351836,27,20190927,BLMMed23727228636,USBLM-OR-Medford,BLMMed23727228636
28,-123.72855322,42.86497822,28,20190927,BLMMed23727328651,USBLM-OR-Medford,BLMMed23727328651
29,-123.72857552,42.86512091,29,20190927,BLMMed23727328652,USBLM-OR-Medford,BLMMed23727328652
30,-123.72855969,42.86676183,30,20190927,BLMMed23727328669,USBLM-OR-Medford,BLMMed23727328669
31,-123.72903335,42.86019828,31,20190927,BLMMed23727828603,USBLM-OR-Medford,BLMMed23727828603
32,-123.73019496,42.86763333,32,20190927,BLMMed23729028677,USBLM-OR-Medford,BLMMed23729028677
33,-123.70871466,42.84321455,33,20190927,BLMMed23707528433,USBLM-OR-Medford,BLMMed23707528433
34,-123.70831067,42.84390156,34,20190927,BLMMed23707128440,USBLM-OR-Medford,BLMMed23707128440
35,-123.70668035,42.84722664,35,20190927,BLMMed23705428473,USBLM-OR-Medford,BLMMed23705428473
36,-123.70602641,42.84768899,36,20190927,BLMMed23704828478,USBLM-OR-Medford,BLMMed23704828478
37,-123.70588074,42.84489108,37,20190927,BLMMed23704628450,USBLM-OR-Medford,BLMMed23704628450
38,-123.70356702,42.84213942,38,20190927,BLMMed23702328423,USBLM-OR-Medford,BLMMed23702328423
39,-123.70604839,42.84084956,39,20190927,BLMMed23704828410,USBLM-OR-Medford,BLMMed23704828410
40,-123.7085655,42.84463427,40,20190927,BLMMed23707328447,USBLM-OR-Medford,BLMMed23707328447
41,-123.70765052,42.84607931,41,20190927,BLMMed23706428462,USBLM-OR-Medford,BLMMed23706428462
43,-123.71400826,42.8514253,43,20190927,BLMMed23712828515,USBLM-OR-Medford,BLMMed23712828515
44,-123.71493958,42.85150917,44,20190927,BLMMed23713728516,USBLM-OR-Medford,BLMMed23713728516
45,-123.71469493,42.85037479,45,20190927,BLMMed23713528505,USBLM-OR-Medford,BLMMed23713528505
46,-123.71598708,42.84892394,46,20190927,BLMMed23714728490,USBLM-OR-Medford,BLMMed23714728490
47,-123.71727826,42.84934788,47,20190927,BLMMed23715628493,USBLM-OR-Medford,BLMMed23715628493
48,-123.71785156,42.84914422,48,20190927,BLMMed23716628493,USBLM-OR-Medford,BLMMed23716628493
49,-123.71866518,42.84828017,49,20190927,BLMMed23717428484,USBLM-OR-Medford,BLMMed23717428484
50,-123.71751176,42.84703781,50,20190927,BLMMed23716328472,USBLM-OR-Medford,BLMMed23716328472
51,-123.71962155,42.84660143,51,20190927,BLMMed23718428467,USBLM-OR-Medford,BLMMed23718428467
52,-123.7214448,42.84605248,52,20190927,BLMMed23720228460,USBLM-OR-Medford,BLMMed23720228460
53,-123.73209513,42.85385499,53,20190927,BLMMed23730928540,USBLM-OR-Medford,BLMMed23730928540
54,-123.7326508,42.8539155,54,20190927,BLMMed23731428540,USBLM-OR-Medford,BLMMed23731428540
55,-123.7166212,42.85207689,55,20190927,BLMMed23715428522,USBLM-OR-Medford,BLMMed23715428522
56,-123.7155373,42.84931972,56,20190927,BLMMed23714328494,USBLM-OR-Medford,BLMMed23714328494
57,-123.70582217,42.85172366,57,20190927,BLMMed23704628518,USBLM-OR-Medford,BLMMed23704628518
58,-123.70534823,42.85203899,58,20190927,BLMMed23704128522,USBLM-OR-Medford,BLMMed23704128522
59,-123.7045644,42.85272185,59,20190927,BLMMed23703328528,USBLM-OR-Medford,BLMMed23703328528
60,-123.70366555,42.85276529,60,20190927,BLMMed23702428529,USBLM-OR-Medford,BLMMed23702428529
61,-123.70089244,42.85350947,61,20190927,BLMMed23699728536,USBLM-OR-Medford,BLMMed23699728536
62,-123.69844239,42.85426975,62,20190927,BLMMed23697228544,USBLM-OR-Medford,BLMMed23697228544
63,-123.69192533,42.85936729,63,20190927,BLMMed23690728595,USBLM-OR-Medford,BLMMed23690728595
64,-123.69183632,42.86084679,64,20190927,BLMMed23690628610,USBLM-OR-Medford,BLMMed23690628610
65,-123.6905378,42.8622249,65,20190927,BLMMed23689328623,USBLM-OR-Medford,BLMMed23689328623
66,-123.69641327,42.85567328,66,20190927,BLMMed23695228558,USBLM-OR-Medford,BLMMed23695228558
67,-123.70221666,42.8532455,67,20190927,BLMMed23701028534,USBLM-OR-Medford,BLMMed23701028534
68,-123.71133267,42.85201608,68,20190927,BLMMed23710128521,USBLM-OR-Medford,BLMMed23710128521
69,-123.5100047,42.78696435,69,20190927,BLMMed23508827871,USBLM-OR-Medford,BLMMed23508827871
70,-123.61175279,42.80476661,70,20190927,BLMMed23610528049,USBLM-OR-Medford,BLMMed23610528049
71,-123.61924268,42.80168101,71,20190927,BLMMed23618028018,USBLM-OR-Medford,BLMMed23618028018
72,-123.60589773,42.76491975,72,20190927,BLMMed23604727650,USBLM-OR-Medford,BLMMed23604727650
73,-123.60771785,42.75067944,73,20190927,BLMMed23606527508,USBLM-OR-Medford,BLMMed23606527508
74,-123.52554269,42.75548509,74,20190927,BLMMed23524327556,USBLM-OR-Medford,BLMMed23524327556
