site_record_id,site_id,site_latitude,site_longitude,fish_passage_feature_type_code,feature_type
13475,992269,45.559742,-122.2563324,1,Culvert
13476,992270,45.5598526,-122.2494583,1,Culvert
34624,999027,45.56011054,-122.242246,1,Culvert
34680,999028,45.56035548,-122.23915548,1,Culvert
17553,996895,45.5632057,-122.2268087,1,Culvert
34679,999026,45.56521139,-122.2776272,1,Culvert
17554,996896,45.566183,-122.2180822,1,Culvert
13473,992267,45.5665817,-122.2841034,1,Culvert
17563,996905,45.5683714,-122.2174887,1,Culvert
13472,992266,45.5681648,-122.288414,1,Culvert
17555,996897,45.572239,-122.2011483,1,Culvert
34645,999099,45.57263526,-122.20125602,1,Culvert
17556,996898,45.5731072,-122.1987476,1,Culvert
17565,996907,45.5732788,-122.1965411,1,Culvert
17557,996899,45.5735221,-122.1963276,1,Culvert
158759,934070,45.574317,-122.34335,1,Culvert
34644,999024,45.57490046,-122.34556107,1,Culvert
34713,999023,45.5749116,-122.34601401,1,Culvert
42001,132101928,45.582416,-122.283129,1,Culvert
34692,999034,45.58049978,-122.43562024,1,Culvert
34511,999076,45.58237509,-122.46137995,1,Culvert
17561,996903,45.5878525,-122.1785159,1,Culvert
17560,996902,45.5882084,-122.1784442,1,Culvert
34625,999029,45.58874504,-122.16443454,1,Culvert
17559,996901,45.5887308,-122.1769759,1,Culvert
17558,996900,45.5887939,-122.1796541,1,Culvert
34627,999030,45.5905396,-122.15705512,1,Culvert
34626,999031,45.59076798,-122.15655971,1,Culvert
34630,999036,45.59121725,-122.14380891,1,Culvert
34631,999037,45.59136417,-122.14275756,1,Culvert
34677,999032,45.59158136,-122.15217766,1,Culvert
34678,999033,45.59164211,-122.15275193,1,Culvert
34629,999035,45.59199354,-122.14636926,1,Culvert
34688,999038,45.59251524,-122.13891343,1,Culvert
35603,999460,45.58679422,-122.49353426,1,Culvert
212412,921263,45.588694,-122.390727,1,Culvert
35604,999459,45.58698942,-122.49349431,1,Culvert
35605,999458,45.58736289,-122.49343991,1,Culvert
34689,999039,45.59371402,-122.13601068,1,Culvert
34690,999040,45.59405564,-122.13528726,1,Culvert
34509,999074,45.58854011,-122.49272164999999,1,Culvert
