invent_id,blm,pv,stf,usfs,lg,br,pvi,pvn,bia,stp,water,und,st,fws,coe,stl,pvu,stw,bpa,dod,gsa,nps,tot,blm_prop,pv_prop,stf_prop,usfs_prop,lg_prop,br_prop,pvi_prop,pvn_prop,bia_prop,stp_prop,water_prop,und_prop,st_prop,fws_prop,coe_prop,stl_prop,pvu_prop,stw_prop,bpa_prop,dod_prop,gsa_prop,nps_prop,tot_prop
1,77733.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77733.568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,223154.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223154.111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,282.049,37160.706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37442.755,0.00753280574573105,0.992467194254269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,158559.90000000002,626631.2729999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785191.173,0.20193795530607683,0.7980620446939232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,93415.916,691775.2579999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785191.1739999999,0.1189721931336941,0.8810278068663059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,390276.428,394914.746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785191.174,0.49704637663183926,0.5029536233681607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,3430.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3430.124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,2333.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2333.991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,25808.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25808.054,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,88759.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88759.186,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
