project_id,worksite_id,project_year,county,state,latitude,longitude,subwatershed,watershed,subbasin,basin,project_source,adj_cost,pure_culv
OWRI - OR_1465,OWRI - OR_1465-WS-1,1996,NA,OR,43.458434,-123.479865,LOST CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,OWRI,9825.036468671107,TRUE
BLM - BLM_105,BLM - BLM_105-WS-1,2002,NA,OR,42.78939,-123.15291,COW CREEK-WHITEHORSE CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,31879.70462859575,TRUE
BLM - BLM_107,BLM - BLM_107-WS-1,2002,NA,OR,42.78696,-123.51,COW CREEK-DADS CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,55442.964571470875,TRUE
BLM - BLM_108,BLM - BLM_108-WS-1,2002,NA,OR,42.79041,-123.50999,COW CREEK-DADS CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,55442.964571470875,TRUE
BLM - BLM_109,BLM - BLM_109-WS-1,2002,NA,OR,42.78942,-123.50375,COW CREEK-DADS CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,6930.370571433859,TRUE
BLM - BLM_13,BLM - BLM_13-WS-1,2002,NA,OR,43.5912,-123.78665,LOWER CAMP CREEK,LAKE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,14355.569601668096,TRUE
BLM - BLM_1311,BLM - BLM_1311-WS-1,2004,NA,OR,42.57906,-123.47056,LOWER JUMPOFF JOE CREEK,JUMPOFF JOE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,208458.13270734786,TRUE
BLM - BLM_1323,BLM - BLM_1323-WS-1,2004,NA,OR,42.77748,-123.19181,COW CREEK-WHITEHORSE CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,109992.40324159815,TRUE
BLM - BLM_1342,BLM - BLM_1342-WS-1,2004,NA,OR,43.10453,-123.13057,UPPER NORTH MYRTLE CREEK,MYRTLE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,135291.98119684335,TRUE
BLM - BLM_1351,BLM - BLM_1351-WS-1,2004,NA,OR,43.62952,-123.16548,UPPER ELK CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,188179.7742205655,TRUE
BLM - BLM_1351,BLM - BLM_1351-WS-2,2004,NA,OR,43.62949,-123.16387,UPPER ELK CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,188179.7742205655,TRUE
BLM - BLM_1352,BLM - BLM_1352-WS-1,2004,NA,OR,43.49029,-123.21792,OLDHAM CREEK,CALAPOOYA CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,48462.91791018367,TRUE
BLM - BLM_1353,BLM - BLM_1353-WS-1,2004,NA,OR,43.43086,-123.16036,MIDDLE CALAPOOYA CREEK,CALAPOOYA CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,104028.95969235488,TRUE
BLM - BLM_1356,BLM - BLM_1356-WS-1,2004,NA,OR,43.80262,-123.43634,HEADWATERS SMITH RIVER,UPPER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,411345.0839300249,TRUE
BLM - BLM_1356,BLM - BLM_1356-WS-2,2004,NA,OR,43.80723,-123.43562,HEADWATERS SMITH RIVER,UPPER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,411345.0839300249,TRUE
BLM - BLM_1356,BLM - BLM_1356-WS-3,2004,NA,OR,43.79672,-123.44293,HEADWATERS SMITH RIVER,UPPER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,411345.0839300249,TRUE
BLM - BLM_1356,BLM - BLM_1356-WS-4,2004,NA,OR,43.79487,-123.43906,HEADWATERS SMITH RIVER,UPPER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,411345.0839300249,TRUE
BLM - BLM_290,BLM - BLM_290-WS-1,2002,NA,OR,42.90235,-123.62888,UNION CREEK,LOWER COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,83164.4468572063,TRUE
BLM - BLM_291,BLM - BLM_291-WS-1,2002,NA,OR,42.90288,-123.63035,UNION CREEK,LOWER COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,83164.4468572063,TRUE
BLM - BLM_292,BLM - BLM_292-WS-1,2002,NA,OR,43.02688,-123.73456,HEADWATERS MIDDLE FORK COQUILLE RIVER,"COQUILLE S FK, LWR",SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,42275.26048574654,TRUE
