project_id,worksite_id,project_year,state,subwatershed,watershed,subbasin,basin,project_source,adj_cost,pure_culv,fips,county,state_fips,emp_agforest,emp_mining,emp_util,emp_const,emp_manuf,emp_wholesale,emp_retail,emp_transport,emp_info,emp_finance,emp_realestate,emp_profsci,emp_mgmn,emp_admin,emp_educ,emp_health,emp_arts,emp_food,emp_other,nlcd_2001,nlcd_2004,nlcd_2006,nlcd_2008,nlcd_2011,nlcd_2013,nlcd_2016,snet_distm,snet_name,snet_spp,snet_use,nhd_dist_m,nhd_leng_m,nhd_r_code,nhd_ftype,slope_deg,here_distm,here_speed,here_class,here_paved,here_publi,geometry
OWRI - OR_1465,OWRI - OR_1465-WS-1,1996,OR,LOST CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,OWRI,9825.036468671107,TRUE,41019,Douglas,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,42,42,42,42,42,42,83.57,NA,Steelhead,Spawning and rearing,8.02,913,17100303001003,460,8.84680653,324.27,7,5,N,Y,"c(-123.479865, 43.458434)"
BLM - BLM_105,BLM - BLM_105-WS-1,2002,OR,COW CREEK-WHITEHORSE CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,31879.70462859575,TRUE,41019,Douglas,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962,42,42,42,42,42,42,42,0.74,East Fork Whitehorse Creek,Coho salmon,Spawning and rearing,0.74,240,17100302000971,460,0.89967281,1.15,7,5,N,Y,"c(-123.15291, 42.78939)"
BLM - BLM_107,BLM - BLM_107-WS-1,2002,OR,COW CREEK-DADS CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,55442.964571470875,TRUE,41019,Douglas,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962,21,21,21,21,21,21,21,4.99,Dads Creek,Steelhead,Spawning and rearing,4.99,263.22,17100302000951,460,3.96687055,0.98,7,5,N,Y,"c(-123.51, 42.78696)"
BLM - BLM_108,BLM - BLM_108-WS-1,2002,OR,COW CREEK-DADS CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,55442.964571470875,TRUE,41019,Douglas,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962,42,42,42,42,42,42,42,0.65,Dads Creek,Steelhead,Spawning and rearing,0.65,153.71,17100302000951,460,5.51112127,253,7,5,N,Y,"c(-123.50999, 42.79041)"
BLM - BLM_109,BLM - BLM_109-WS-1,2002,OR,COW CREEK-DADS CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,6930.370571433859,TRUE,41019,Douglas,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962,42,42,42,42,42,42,42,17.91,NA,Steelhead,Spawning and rearing,1.56,260.82,17100302074631,460,5.47431612,45.12,7,5,N,Y,"c(-123.50375, 42.78942)"
BLM - BLM_13,BLM - BLM_13-WS-1,2002,OR,LOWER CAMP CREEK,LAKE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,14355.569601668096,TRUE,41019,Douglas,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962,21,21,21,21,21,21,21,1.78,Unnamed trib to Buck Creek,Coho salmon,Spawning and rearing,1.78,347,17100303000878,460,4.65173817,13.53,7,5,N,Y,"c(-123.78665, 43.5912)"
BLM - BLM_1311,BLM - BLM_1311-WS-1,2004,OR,LOWER JUMPOFF JOE CREEK,JUMPOFF JOE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,208458.13270734786,TRUE,41033,Josephine,41,0.017926380985950955,4.028400221562012e-4,0,0.06807996374439801,0.159172163754469,0.027594541517699783,0.2197995870889773,0.02668815146784833,0.01515685583362707,0.03897477214361247,0.018329221008107157,0.02618460144015308,0.0016113600886248048,0.03988116219346392,0.011883780653607935,0.16199204390956243,0.017271765949947126,0.10101213555566746,0.048038672642126995,21,21,21,21,21,21,21,13.55,Quartz Creek,Coho salmon,Spawning and rearing,0.46,259,17100310000202,460,4.10442352,2.47,7,5,N,Y,"c(-123.47056, 42.57906)"
BLM - BLM_1323,BLM - BLM_1323-WS-1,2004,OR,COW CREEK-WHITEHORSE CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,109992.40324159815,TRUE,41019,Douglas,41,0.03753150966296331,0.0023340491083932405,0.005788441788815236,0.044595898297700186,0.1931659042106246,0.03678461394827747,0.16033361341922633,0.04017676531914231,0.011825848815859085,0.0232160084648181,0.016244981794416954,0.030000311206547784,0,0.03964771418790651,0.013630846793016524,0.1700743783649208,0.013039554352223572,0.12784364983039243,0.03376591043475555,42,42,42,42,42,42,42,0.04,Fizzleout Creek,Coho salmon,Spawning and rearing,0.04,245,17100302000981,460,2.79765701,6.06,5,5,Y,Y,"c(-123.19181, 42.77748)"
BLM - BLM_1342,BLM - BLM_1342-WS-1,2004,OR,UPPER NORTH MYRTLE CREEK,MYRTLE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,135291.98119684335,TRUE,41019,Douglas,41,0.03753150966296331,0.0023340491083932405,0.005788441788815236,0.044595898297700186,0.1931659042106246,0.03678461394827747,0.16033361341922633,0.04017676531914231,0.011825848815859085,0.0232160084648181,0.016244981794416954,0.030000311206547784,0,0.03964771418790651,0.013630846793016524,0.1700743783649208,0.013039554352223572,0.12784364983039243,0.03376591043475555,71,71,71,71,71,71,71,0.06,Riser Creek,Coho salmon,Spawning and rearing,19.42,201.54,17100302000545,460,0.69720548,0.81,7,5,N,Y,"c(-123.13057, 43.10453)"
BLM - BLM_1351,BLM - BLM_1351-WS-1,2004,OR,UPPER ELK CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,188179.7742205655,TRUE,41019,Douglas,41,0.03753150966296331,0.0023340491083932405,0.005788441788815236,0.044595898297700186,0.1931659042106246,0.03678461394827747,0.16033361341922633,0.04017676531914231,0.011825848815859085,0.0232160084648181,0.016244981794416954,0.030000311206547784,0,0.03964771418790651,0.013630846793016524,0.1700743783649208,0.013039554352223572,0.12784364983039243,0.03376591043475555,42,42,42,42,42,42,42,0.06,Cox Creek,Coho salmon,Spawning and rearing,0.06,116,17100303011773,460,2.15519691,22.74,5,5,Y,Y,"c(-123.16548, 43.62952)"
