project_id,worksite_id,completed_year,latitude,longitude,county,state,subwatershed,watershed,subbasin,basin,project_source,action,project_cost,state_full,n_metric,n_action_wrk,n_metric_wrk,n_metric_wrk_dist,n_worksites,n_action_prj,n_action_prj_dist,n_metric_prj,n_metric_prj_dist,adj_cost,cost_avail,n_culverts,action_fishpass_culvimp_prj,action_fishpass_culvinst_prj,action_fishpass_culvrem_prj,action_fishpass_culvimp_count_prj,action_fishpass_culvinst_count_prj,action_fishpass_culvrem_count_prj,n_culverts_fromcount,cost_per_culvert,action_fishpass_culvimp_wrk,action_fishpass_culvinst_wrk,action_fishpass_culvrem_wrk,action_fishpass_culvimp_count_wrk,action_fishpass_culvinst_count_wrk,action_fishpass_culvrem_count_wrk,dist_max,dist_mean,fips,state_fips,emp_agforest,emp_mining,emp_util,emp_const,emp_manuf,emp_wholesale,emp_retail,emp_transport,emp_info,emp_finance,emp_realestate,emp_profsci,emp_mgmn,emp_admin,emp_educ,emp_health,emp_arts,emp_food,emp_other
OWRI - OR_1465,OWRI - OR_1465-WS-1,1996,43.458434,-123.479865,"oregon,douglas",OR,LOST CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,OWRI,fishpass_culvimp,6400,OR,0,1,0,0,1,1,1,0,0,9825.036468671107,TRUE,1,1,0,0,1,0,0,0,9825.036468671107,1,0,0,1,0,0,0,0,41019,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLM - BLM_105,BLM - BLM_105-WS-1,2002,42.78939,-123.15291,"oregon,douglas",OR,COW CREEK-WHITEHORSE CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,23000,OR,1,1,1,1,1,1,1,1,1,31879.70462859575,TRUE,1,1,0,0,1,0,0,0,31879.70462859575,1,0,0,1,0,0,0,0,41019,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962
BLM - BLM_107,BLM - BLM_107-WS-1,2002,42.78696,-123.51,"oregon,douglas",OR,COW CREEK-DADS CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,40000,OR,1,1,1,1,1,1,1,1,1,55442.964571470875,TRUE,1,1,0,0,1,0,0,0,55442.964571470875,1,0,0,1,0,0,0,0,41019,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962
BLM - BLM_108,BLM - BLM_108-WS-1,2002,42.79041,-123.50999,"oregon,douglas",OR,COW CREEK-DADS CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,40000,OR,1,1,1,1,1,1,1,1,1,55442.964571470875,TRUE,1,1,0,0,1,0,0,0,55442.964571470875,1,0,0,1,0,0,0,0,41019,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962
BLM - BLM_109,BLM - BLM_109-WS-1,2002,42.78942,-123.50375,"oregon,douglas",OR,COW CREEK-DADS CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,5000,OR,1,1,1,1,1,1,1,1,1,6930.370571433859,TRUE,1,1,0,0,1,0,0,0,6930.370571433859,1,0,0,1,0,0,0,0,41019,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962
BLM - BLM_13,BLM - BLM_13-WS-1,2002,43.5912,-123.78665,"oregon,douglas",OR,LOWER CAMP CREEK,LAKE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,10357,OR,1,1,1,1,1,1,1,1,1,14355.569601668096,TRUE,1,1,0,0,1,0,0,0,14355.569601668096,1,0,0,1,0,0,0,0,41019,41,0.04332641428618497,0.002635827485091101,0.005897663997891338,0.043688840565384995,0.19505123389674145,0.04741194688807618,0.1588745016638661,0.027313762314256532,0.013508615861091892,0.023854238740074463,0.014398207637310138,0.028631676056802082,0.011993015057164508,0.04095416954960298,0.01459589469869197,0.16249876445586636,0.012289545649237257,0.12075384666073606,0.03232183453592962
BLM - BLM_1311,BLM - BLM_1311-WS-1,2004,42.57906,-123.47056,"oregon,josephine",OR,LOWER JUMPOFF JOE CREEK,JUMPOFF JOE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,157302,OR,1,1,1,1,1,1,1,1,1,208458.13270734786,TRUE,1,1,0,0,1,0,0,0,208458.13270734786,1,0,0,1,0,0,0,0,41033,41,0.017926380985950955,4.028400221562012e-4,0,0.06807996374439801,0.159172163754469,0.027594541517699783,0.2197995870889773,0.02668815146784833,0.01515685583362707,0.03897477214361247,0.018329221008107157,0.02618460144015308,0.0016113600886248048,0.03988116219346392,0.011883780653607935,0.16199204390956243,0.017271765949947126,0.10101213555566746,0.048038672642126995
BLM - BLM_1323,BLM - BLM_1323-WS-1,2004,42.77748,-123.19181,"oregon,douglas",OR,COW CREEK-WHITEHORSE CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,83000,OR,1,1,1,1,1,1,1,1,1,109992.40324159815,TRUE,1,1,0,0,1,0,0,0,109992.40324159815,1,0,0,1,0,0,0,0,41019,41,0.03753150966296331,0.0023340491083932405,0.005788441788815236,0.044595898297700186,0.1931659042106246,0.03678461394827747,0.16033361341922633,0.04017676531914231,0.011825848815859085,0.0232160084648181,0.016244981794416954,0.030000311206547784,0,0.03964771418790651,0.013630846793016524,0.1700743783649208,0.013039554352223572,0.12784364983039243,0.03376591043475555
BLM - BLM_1342,BLM - BLM_1342-WS-1,2004,43.10453,-123.13057,"oregon,douglas",OR,UPPER NORTH MYRTLE CREEK,MYRTLE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,102091,OR,1,1,1,1,1,1,1,1,1,135291.98119684335,TRUE,1,1,0,0,1,0,0,0,135291.98119684335,1,0,0,1,0,0,0,0,41019,41,0.03753150966296331,0.0023340491083932405,0.005788441788815236,0.044595898297700186,0.1931659042106246,0.03678461394827747,0.16033361341922633,0.04017676531914231,0.011825848815859085,0.0232160084648181,0.016244981794416954,0.030000311206547784,0,0.03964771418790651,0.013630846793016524,0.1700743783649208,0.013039554352223572,0.12784364983039243,0.03376591043475555
BLM - BLM_1351,BLM - BLM_1351-WS-1,2004,43.62952,-123.16548,"oregon,douglas",OR,UPPER ELK CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,142000,OR,1,1,1,1,2,2,1,2,1,188179.7742205655,TRUE,2,1,0,0,2,0,0,0,94089.88711028275,1,0,0,1,0,0,129.97555518582368,64.98777759291184,41019,41,0.03753150966296331,0.0023340491083932405,0.005788441788815236,0.044595898297700186,0.1931659042106246,0.03678461394827747,0.16033361341922633,0.04017676531914231,0.011825848815859085,0.0232160084648181,0.016244981794416954,0.030000311206547784,0,0.03964771418790651,0.013630846793016524,0.1700743783649208,0.013039554352223572,0.12784364983039243,0.03376591043475555
