id,project_id,worksite_id,project_year,county,state,subwatershed,watershed,subbasin,basin,project_source,adj_cost,pure_culv,geometry,comid,reachcode,reach_meas,offset,slope
1,OWRI - OR_1465,OWRI - OR_1465-WS-1,1996,NA,OR,LOST CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,OWRI,9825.036468671107,TRUE,"c(-13745715.6950222, 5382012.54580122)",24528686,17100303001003,56.08882252914293,67.60177262657885,0.15511875
2,BLM - BLM_105,BLM - BLM_105-WS-1,2002,NA,OR,COW CREEK-WHITEHORSE CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,31879.70462859575,TRUE,"c(-13709319.2309098, 5279969.60236373)",23902865,17100302000971,27.499927487264713,73.23764188487192,0.0762718
3,BLM - BLM_107,BLM - BLM_107-WS-1,2002,NA,OR,COW CREEK-DADS CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,55442.964571470875,TRUE,"c(-13749070.3078772, 5279600.99983895)",23902825,17100302000951,51.21313467491262,44.76602622238307,0.04315283
4,BLM - BLM_108,BLM - BLM_108-WS-1,2002,NA,OR,COW CREEK-DADS CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,55442.964571470875,TRUE,"c(-13749069.1946823, 5280124.32872309)",23902825,17100302000951,65.28051188283237,60.20848884956776,0.04315283
5,BLM - BLM_109,BLM - BLM_109-WS-1,2002,NA,OR,COW CREEK-DADS CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,6930.370571433859,TRUE,"c(-13748374.5610598, 5279974.15310261)",NA,NA,NA,NA,NA
6,BLM - BLM_13,BLM - BLM_13-WS-1,2002,NA,OR,LOWER CAMP CREEK,LAKE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,14355.569601668096,TRUE,"c(-13779866.8450052, 5402395.85696472)",24528432,17100303000878,41.426431487009594,56.1890376913947,0.06341822
7,BLM - BLM_1311,BLM - BLM_1311-WS-1,2004,NA,OR,LOWER JUMPOFF JOE CREEK,JUMPOFF JOE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,208458.13270734786,TRUE,"c(-13744679.8671603, 5248118.39412764)",23941421,17100310000547,15.86850799912068,80.51175905331813,0.0374622
8,BLM - BLM_1323,BLM - BLM_1323-WS-1,2004,NA,OR,COW CREEK-WHITEHORSE CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,109992.40324159815,TRUE,"c(-13713649.5591017, 5278163.13324471)",23902885,17100302000981,7.372084755692583,104.25831495445833,0.07971808
9,BLM - BLM_1342,BLM - BLM_1342-WS-1,2004,NA,OR,UPPER NORTH MYRTLE CREEK,MYRTLE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,135291.98119684335,TRUE,"c(-13706832.3534855, 5327895.93710757)",23901991,17100302000544,100,69.93772444442989,0.01426917
10,BLM - BLM_1351,BLM - BLM_1351-WS-1,2004,NA,OR,UPPER ELK CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,188179.7742205655,TRUE,"c(-13710718.5169091, 5408287.41123701)",NA,NA,NA,NA,NA
11,BLM - BLM_1351,BLM - BLM_1351-WS-2,2004,NA,OR,UPPER ELK CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,188179.7742205655,TRUE,"c(-13710539.2925289, 5408282.79738242)",NA,NA,NA,NA,NA
12,BLM - BLM_1352,BLM - BLM_1352-WS-1,2004,NA,OR,OLDHAM CREEK,CALAPOOYA CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,48462.91791018367,TRUE,"c(-13716556.1110063, 5386899.24863895)",24528672,17100303000996,56.42519044702047,116.59314734923001,0.04222071
13,BLM - BLM_1353,BLM - BLM_1353-WS-1,2004,NA,OR,MIDDLE CALAPOOYA CREEK,CALAPOOYA CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,104028.95969235488,TRUE,"c(-13710148.5611163, 5377784.77907508)",24527640,17100303000488,55.440159608693804,74.06442885007854,0.01493012
14,BLM - BLM_1356,BLM - BLM_1356-WS-1,2004,NA,OR,HEADWATERS SMITH RIVER,UPPER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,411345.0839300249,TRUE,"c(-13740870.5141854, 5434947.80869169)",NA,NA,NA,NA,NA
15,BLM - BLM_1356,BLM - BLM_1356-WS-2,2004,NA,OR,HEADWATERS SMITH RIVER,UPPER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,411345.0839300249,TRUE,"c(-13740790.364152, 5435658.88300716)",24527950,17100303000641,71.05843043756019,53.78824598403082,0.03833086
16,BLM - BLM_1356,BLM - BLM_1356-WS-3,2004,NA,OR,HEADWATERS SMITH RIVER,UPPER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,411345.0839300249,TRUE,"c(-13741604.1096297, 5434037.83700943)",NA,NA,NA,NA,NA
17,BLM - BLM_1356,BLM - BLM_1356-WS-4,2004,NA,OR,HEADWATERS SMITH RIVER,UPPER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,411345.0839300249,TRUE,"c(-13741173.3032003, 5433752.52540938)",24527950,17100303000641,31.96704474506764,47.17106218815761,0.03833086
18,BLM - BLM_290,BLM - BLM_290-WS-1,2002,NA,OR,UNION CREEK,LOWER COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,83164.4468572063,TRUE,"c(-13762303.9689427, 5297120.31268623)",23901135,17100302000117,12.42865849025307,47.40538358318544,0.01711564
19,BLM - BLM_291,BLM - BLM_291-WS-1,2002,NA,OR,UNION CREEK,LOWER COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,83164.4468572063,TRUE,"c(-13762467.6085942, 5297200.85654604)",23902597,17100302000837,3.794846352733032,63.16901357129888,0.10634078
20,BLM - BLM_292,BLM - BLM_292-WS-1,2002,NA,OR,HEADWATERS MIDDLE FORK COQUILLE RIVER,"COQUILLE S FK, LWR",SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,42275.26048574654,TRUE,"c(-13774068.2127298, 5316064.15240839)",23915891,17100305000717,26.838951598628043,72.38109385386588,0.08268265
21,BLM - BLM_293,BLM - BLM_293-WS-1,2002,NA,OR,HEADWATERS MIDDLE FORK COQUILLE RIVER,"COQUILLE S FK, LWR",SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,187120.0054287142,TRUE,"c(-13774355.417016, 5314156.31839588)",23915911,17100305000727,14.055604746970701,33.885196294510216,0.0887546
22,BLM - BLM_293,BLM - BLM_293-WS-2,2002,NA,OR,HEADWATERS MIDDLE FORK COQUILLE RIVER,"COQUILLE S FK, LWR",SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,187120.0054287142,TRUE,"c(-13774937.6179529, 5315113.99326671)",NA,NA,NA,NA,NA
23,BLM - BLM_296,BLM - BLM_296-WS-1,2002,NA,OR,UPPER SOUTH MYRTLE CREEK,MYRTLE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,161158.83726812297,TRUE,"c(-13700044.090937, 5326659.48857377)",23901969,17100302000533,95.34608357923783,80.00368791553495,0.02758233
24,BLM - BLM_297,BLM - BLM_297-WS-1,2002,NA,OR,UPPER ELK CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,47819.55694289363,TRUE,"c(-13710913.326018, 5414375.09158768)",NA,NA,NA,NA,NA
25,BLM - BLM_298,BLM - BLM_298-WS-1,2002,NA,OR,LOWER CANTON CREEK,CANTON CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,109504.01325099784,TRUE,"c(-13666643.7909193, 5379633.6341196)",23894706,17100301000356,68.275248381182,87.85225602361402,0.02272572
26,BLM - BLM_299,BLM - BLM_299-WS-1,2002,NA,OR,LOWER ROCK CREEK,ROCK CREEK/NORTH UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,143035.91822382342,TRUE,"c(-13683824.8411284, 5371161.97263416)",23895218,17100301000594,23.925773945006313,134.28407132557638,0.14628117
27,BLM - BLM_300,BLM - BLM_300-WS-1,2002,NA,OR,MIDDLE CALAPOOYA CREEK,CALAPOOYA CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,199955.0517270097,TRUE,"c(-13705951.8163134, 5371710.37362784)",24526978,17100303000185,17.213917961097984,71.4365355049291,0.04034148
28,BLM - BLM_300,BLM - BLM_300-WS-2,2002,NA,OR,MIDDLE CALAPOOYA CREEK,CALAPOOYA CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,199955.0517270097,TRUE,"c(-13704850.8665494, 5374652.07152015)",24526974,17100303000183,0,57.1700851330654,0.01895454
29,BLM - BLM_301,BLM - BLM_301-WS-1,2002,NA,OR,LOWER CAVITT CREEK,LITTLE RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,138607.41142867718,TRUE,"c(-13694415.7774824, 5340016.01090649)",NA,NA,NA,NA,NA
30,BLM - BLM_302,BLM - BLM_302-WS-1,2002,NA,OR,BILLY CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,187355.63802814294,TRUE,"c(-13736628.1283913, 5400645.41107645)",24527146,17100303000264,29.228757076644825,37.6336542669228,0.09028071
31,BLM - BLM_302,BLM - BLM_302-WS-2,2002,NA,OR,BILLY CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,187355.63802814294,TRUE,"c(-13735750.9308038, 5402111.52144983)",24528468,17100303000896,2.9187273597798793,81.8676497328153,0.04991009
32,BLM - BLM_302,BLM - BLM_302-WS-3,2002,NA,OR,BILLY CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,187355.63802814294,TRUE,"c(-13736140.5490216, 5398597.24125236)",24527146,17100303000264,80.370397100964,64.81655745633643,0.09028071
33,BLM - BLM_303,BLM - BLM_303-WS-1,2002,NA,OR,WOLF CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,175691.82435641976,TRUE,"c(-13757720.9455068, 5376688.82420739)",24526862,17100303000131,34.46076924945244,112.69930179312517,0.01308602
34,BLM - BLM_304,BLM - BLM_304-WS-1,2002,NA,OR,LOST CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,121281.48500009254,TRUE,"c(-13742869.81224, 5382732.74923857)",24528706,17100303001013,15.313091556590535,50.361841527470204,0.13569547
35,BLM - BLM_304,BLM - BLM_304-WS-2,2002,NA,OR,LOST CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,121281.48500009254,TRUE,"c(-13743014.5275781, 5382545.63819685)",24528706,17100303001013,19.485042582141475,47.346691663834754,0.13569547
36,BLM - BLM_306,BLM - BLM_306-WS-1,2002,NA,OR,LOWER CAVITT CREEK,LITTLE RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,110885.92914294175,TRUE,"c(-13701255.2469968, 5337401.17313775)",NA,NA,NA,NA,NA
37,BLM - BLM_307,BLM - BLM_307-WS-1,2002,NA,OR,LOWER CAVITT CREEK,LITTLE RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,166328.8937144126,TRUE,"c(-13691180.83308, 5341504.6437781)",23895758,17100301000850,100,53.14690889267742,0.11291244
38,BLM - BLM_441,BLM - BLM_441-WS-1,2002,NA,OR,PANTHER CREEK,NORTH YAMHILL RIVER,WILLAMETTE,WILLAMETTE,BLM,49898.66811432379,TRUE,"c(-13729647.2831236, 5669279.79731571)",23796607,17090008000069,41.266370890941964,44.31086907706624,0.02981228
39,BLM - BLM_5007,BLM - BLM_5007-WS-1,2005,NA,OR,DEAN CREEK,LOWER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,98636.0825833169,TRUE,"c(-13807083.3473092, 5418344.93659751)",24528896,17100303000734,15.829547660192247,36.31267949683749,0.03098906
40,BLM - BLM_5007,BLM - BLM_5007-WS-2,2005,NA,OR,DEAN CREEK,LOWER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,98636.0825833169,TRUE,"c(-13807036.5931231, 5417955.41914073)",24528896,17100303000734,28.969894701641635,56.00948348155351,0.03098906
41,BLM - BLM_5008,BLM - BLM_5008-WS-1,2005,NA,OR,SPENCER CREEK-JOHNSON CREEK,LOWER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,131857.4862937891,TRUE,"c(-13792708.6614631, 5431806.47322173)",24527350,17100303000347,14.581388520165177,117.23940804323377,1.7991e-4
42,BLM - BLM_5013,BLM - BLM_5013-WS-1,2005,NA,OR,MEHL CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,61687.7128859832,TRUE,"c(-13761437.9033043, 5404975.25619984)",24527628,17100303000483,8.746869833201018,65.98362879492394,0.06493923
43,BLM - BLM_5047,BLM - BLM_5047-WS-1,2005,NA,OR,LOST CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,284475.4582950818,TRUE,"c(-13753733.4813465, 5379586.10503865)",24528964,17100303001016,10.38605022426195,27.76807706373154,0.09282371
44,BLM - BLM_5047,BLM - BLM_5047-WS-2,2005,NA,OR,LOST CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,284475.4582950818,TRUE,"c(-13753739.0473211, 5377295.79860122)",NA,NA,NA,NA,NA
45,BLM - BLM_5048,BLM - BLM_5048-WS-1,2005,NA,OR,UPPER PASS CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,124609.18002968606,TRUE,"c(-13715018.7888385, 5426117.16675183)",24528204,17100303000766,31.711734265383228,15.751000893897928,0.05166
