project_id,completed_year,latitude,longitude,basin,project_source,project_cost,n_worksites,n_action_prj,n_action_prj_dist,n_metric_prj,n_metric_prj_dist,adj_cost,cost_avail,action_fishpass_culvimp,action_fishpass_culvinst,action_fishpass_culvrem,action_fishpass_culvimp_count,action_fishpass_culvinst_count,action_fishpass_culvrem_count,n_culverts,n_culverts_fromcount,cost_per_culvert,dist_max,dist_mean
OWRI - OR_1465,1996,43.458434,-123.479865,SOUTHERN OREGON COASTAL,OWRI,6400,1,1,1,0,0,9825.036468671107,TRUE,1,0,0,1,0,0,1,0,9825.036468671107,0,0
BLM - BLM_105,2002,42.78939,-123.15291,SOUTHERN OREGON COASTAL,BLM,23000,1,1,1,1,1,31879.70462859575,TRUE,1,0,0,1,0,0,1,0,31879.70462859575,0,0
BLM - BLM_107,2002,42.78696,-123.51,SOUTHERN OREGON COASTAL,BLM,40000,1,1,1,1,1,55442.964571470875,TRUE,1,0,0,1,0,0,1,0,55442.964571470875,0,0
BLM - BLM_108,2002,42.79041,-123.50999,SOUTHERN OREGON COASTAL,BLM,40000,1,1,1,1,1,55442.964571470875,TRUE,1,0,0,1,0,0,1,0,55442.964571470875,0,0
BLM - BLM_109,2002,42.78942,-123.50375,SOUTHERN OREGON COASTAL,BLM,5000,1,1,1,1,1,6930.370571433859,TRUE,1,0,0,1,0,0,1,0,6930.370571433859,0,0
BLM - BLM_13,2002,43.5912,-123.78665,SOUTHERN OREGON COASTAL,BLM,10357,1,1,1,1,1,14355.569601668096,TRUE,1,0,0,1,0,0,1,0,14355.569601668096,0,0
BLM - BLM_1311,2004,42.57906,-123.47056,SOUTHERN OREGON COASTAL,BLM,157302,1,1,1,1,1,208458.13270734786,TRUE,1,0,0,1,0,0,1,0,208458.13270734786,0,0
BLM - BLM_1323,2004,42.77748,-123.19181,SOUTHERN OREGON COASTAL,BLM,83000,1,1,1,1,1,109992.40324159815,TRUE,1,0,0,1,0,0,1,0,109992.40324159815,0,0
BLM - BLM_1342,2004,43.10453,-123.13057,SOUTHERN OREGON COASTAL,BLM,102091,1,1,1,1,1,135291.98119684335,TRUE,1,0,0,1,0,0,1,0,135291.98119684335,0,0
BLM - BLM_1351,2004,43.629504999999995,-123.164675,SOUTHERN OREGON COASTAL,BLM,142000,2,2,1,2,1,188179.7742205655,TRUE,1,0,0,2,0,0,2,0,94089.88711028275,129.97555518582368,64.98777759291184
BLM - BLM_1352,2004,43.49029,-123.21792,SOUTHERN OREGON COASTAL,BLM,36570,1,1,1,1,1,48462.91791018367,TRUE,1,0,0,1,0,0,1,0,48462.91791018367,0,0
BLM - BLM_1353,2004,43.43086,-123.16036,SOUTHERN OREGON COASTAL,BLM,78500,1,1,1,1,1,104028.95969235488,TRUE,1,0,0,1,0,0,1,0,104028.95969235488,0,0
BLM - BLM_1356,2004,43.80036,-123.43848750000001,SOUTHERN OREGON COASTAL,BLM,310400,4,4,1,4,1,411345.0839300249,TRUE,1,0,0,4,0,0,4,0,102836.27098250622,1400.9231279550793,666.0996103832349
BLM - BLM_290,2002,42.90235,-123.62888,SOUTHERN OREGON COASTAL,BLM,60000,1,1,1,1,1,83164.4468572063,TRUE,1,0,0,1,0,0,1,0,83164.4468572063,0,0
BLM - BLM_291,2002,42.90288,-123.63035,SOUTHERN OREGON COASTAL,BLM,60000,1,1,1,1,1,83164.4468572063,TRUE,1,0,0,1,0,0,1,0,83164.4468572063,0,0
BLM - BLM_292,2002,43.02688,-123.73456,SOUTHERN OREGON COASTAL,BLM,30500,1,1,1,1,1,42275.26048574654,TRUE,1,0,0,1,0,0,1,0,42275.26048574654,0,0
BLM - BLM_293,2002,43.017495,-123.739755,SOUTHERN OREGON COASTAL,BLM,135000,2,2,1,2,1,187120.0054287142,TRUE,1,0,0,2,0,0,2,0,93560.0027143571,818.5666967497474,409.2833483748737
BLM - BLM_296,2002,43.09642,-123.06959,SOUTHERN OREGON COASTAL,BLM,116270,1,1,1,1,1,161158.83726812297,TRUE,1,0,0,1,0,0,1,0,161158.83726812297,0,0
BLM - BLM_297,2002,43.66909,-123.16723,SOUTHERN OREGON COASTAL,BLM,34500,1,1,1,1,1,47819.55694289363,TRUE,1,0,0,1,0,0,1,0,47819.55694289363,0,0
BLM - BLM_298,2002,43.44292,-122.76955,SOUTHERN OREGON COASTAL,BLM,79003,1,1,1,1,1,109504.01325099784,TRUE,1,0,0,1,0,0,1,0,109504.01325099784,0,0
BLM - BLM_299,2002,43.38764,-122.92389,SOUTHERN OREGON COASTAL,BLM,103195,1,1,1,1,1,143035.91822382342,TRUE,1,0,0,1,0,0,1,0,143035.91822382342,0,0
BLM - BLM_300,2002,43.400819999999996,-123.117715,SOUTHERN OREGON COASTAL,BLM,144260,2,2,1,2,1,199955.0517270097,TRUE,1,0,0,2,0,0,2,0,99977.52586350485,2278.6251975363484,1139.3125987681742
BLM - BLM_301,2002,43.18397,-123.01903,SOUTHERN OREGON COASTAL,BLM,100000,1,1,1,1,1,138607.41142867718,TRUE,1,0,0,1,0,0,1,0,138607.41142867718,0,0
BLM - BLM_302,2002,43.57854666666667,-123.39414333333333,SOUTHERN OREGON COASTAL,BLM,135170,3,3,1,3,1,187355.63802814294,TRUE,1,0,0,3,0,0,3,0,62451.87934271432,2556.6269276158064,1181.252886912067
BLM - BLM_303,2002,43.42371,-123.58771,SOUTHERN OREGON COASTAL,BLM,126755,1,1,1,1,1,175691.82435641976,TRUE,1,0,0,1,0,0,1,0,175691.82435641976,0,0
BLM - BLM_304,2002,43.46252,-123.45495,SOUTHERN OREGON COASTAL,BLM,87500,2,2,1,2,1,121281.48500009254,TRUE,1,0,0,2,0,0,2,0,60640.74250004627,171.581588344838,85.790794172419
BLM - BLM_306,2002,43.16684,-123.08047,SOUTHERN OREGON COASTAL,BLM,80000,1,1,1,1,1,110885.92914294175,TRUE,1,0,0,1,0,0,1,0,110885.92914294175,0,0
BLM - BLM_307,2002,43.19372,-122.98997,SOUTHERN OREGON COASTAL,BLM,120000,1,1,1,1,1,166328.8937144126,TRUE,1,0,0,1,0,0,1,0,166328.8937144126,0,0
BLM - BLM_441,2002,45.30256,-123.33552,WILLAMETTE,BLM,36000,1,1,1,1,1,49898.66811432379,TRUE,1,0,0,1,0,0,1,0,49898.66811432379,0,0
