project_id,worksite_id,completed_year,latitude,longitude,county,state,subwatershed,watershed,subbasin,basin,project_source,action,project_cost,state_full,n_metric,n_action_wrk,n_metric_wrk,n_metric_wrk_dist,n_worksites,n_action_prj,n_action_prj_dist,n_metric_prj,n_metric_prj_dist,adj_cost,cost_avail,n_culverts,action_fishpass_culvimp_prj,action_fishpass_culvinst_prj,action_fishpass_culvrem_prj,action_fishpass_culvimp_count_prj,action_fishpass_culvinst_count_prj,action_fishpass_culvrem_count_prj,n_culverts_fromcount,cost_per_culvert,action_fishpass_culvimp_wrk,action_fishpass_culvinst_wrk,action_fishpass_culvrem_wrk,action_fishpass_culvimp_count_wrk,action_fishpass_culvinst_count_wrk,action_fishpass_culvrem_count_wrk,dist_max,dist_mean
OWRI - OR_1465,OWRI - OR_1465-WS-1,1996,43.458434,-123.479865,NA,OR,LOST CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,OWRI,fishpass_culvimp,6400,OR,0,1,0,0,1,1,1,0,0,9825.036468671107,TRUE,1,1,0,0,1,0,0,0,9825.036468671107,1,0,0,1,0,0,0,0
BLM - BLM_105,BLM - BLM_105-WS-1,2002,42.78939,-123.15291,NA,OR,COW CREEK-WHITEHORSE CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,23000,OR,1,1,1,1,1,1,1,1,1,31879.70462859575,TRUE,1,1,0,0,1,0,0,0,31879.70462859575,1,0,0,1,0,0,0,0
BLM - BLM_107,BLM - BLM_107-WS-1,2002,42.78696,-123.51,NA,OR,COW CREEK-DADS CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,40000,OR,1,1,1,1,1,1,1,1,1,55442.964571470875,TRUE,1,1,0,0,1,0,0,0,55442.964571470875,1,0,0,1,0,0,0,0
BLM - BLM_108,BLM - BLM_108-WS-1,2002,42.79041,-123.50999,NA,OR,COW CREEK-DADS CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,40000,OR,1,1,1,1,1,1,1,1,1,55442.964571470875,TRUE,1,1,0,0,1,0,0,0,55442.964571470875,1,0,0,1,0,0,0,0
BLM - BLM_109,BLM - BLM_109-WS-1,2002,42.78942,-123.50375,NA,OR,COW CREEK-DADS CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,5000,OR,1,1,1,1,1,1,1,1,1,6930.370571433859,TRUE,1,1,0,0,1,0,0,0,6930.370571433859,1,0,0,1,0,0,0,0
BLM - BLM_13,BLM - BLM_13-WS-1,2002,43.5912,-123.78665,NA,OR,LOWER CAMP CREEK,LAKE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,10357,OR,1,1,1,1,1,1,1,1,1,14355.569601668096,TRUE,1,1,0,0,1,0,0,0,14355.569601668096,1,0,0,1,0,0,0,0
BLM - BLM_1311,BLM - BLM_1311-WS-1,2004,42.57906,-123.47056,NA,OR,LOWER JUMPOFF JOE CREEK,JUMPOFF JOE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,157302,OR,1,1,1,1,1,1,1,1,1,208458.13270734786,TRUE,1,1,0,0,1,0,0,0,208458.13270734786,1,0,0,1,0,0,0,0
BLM - BLM_1323,BLM - BLM_1323-WS-1,2004,42.77748,-123.19181,NA,OR,COW CREEK-WHITEHORSE CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,83000,OR,1,1,1,1,1,1,1,1,1,109992.40324159815,TRUE,1,1,0,0,1,0,0,0,109992.40324159815,1,0,0,1,0,0,0,0
BLM - BLM_1342,BLM - BLM_1342-WS-1,2004,43.10453,-123.13057,NA,OR,UPPER NORTH MYRTLE CREEK,MYRTLE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,102091,OR,1,1,1,1,1,1,1,1,1,135291.98119684335,TRUE,1,1,0,0,1,0,0,0,135291.98119684335,1,0,0,1,0,0,0,0
BLM - BLM_1351,BLM - BLM_1351-WS-1,2004,43.62952,-123.16548,NA,OR,UPPER ELK CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,142000,OR,1,1,1,1,2,2,1,2,1,188179.7742205655,TRUE,2,1,0,0,2,0,0,0,94089.88711028275,1,0,0,1,0,0,129.97555518582368,64.98777759291184
BLM - BLM_1351,BLM - BLM_1351-WS-2,2004,43.62949,-123.16387,NA,OR,UPPER ELK CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,142000,OR,1,1,1,1,2,2,1,2,1,188179.7742205655,TRUE,2,1,0,0,2,0,0,0,94089.88711028275,1,0,0,1,0,0,129.97555518582368,64.98777759291184
BLM - BLM_1352,BLM - BLM_1352-WS-1,2004,43.49029,-123.21792,NA,OR,OLDHAM CREEK,CALAPOOYA CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,36570,OR,1,1,1,1,1,1,1,1,1,48462.91791018367,TRUE,1,1,0,0,1,0,0,0,48462.91791018367,1,0,0,1,0,0,0,0
BLM - BLM_1353,BLM - BLM_1353-WS-1,2004,43.43086,-123.16036,NA,OR,MIDDLE CALAPOOYA CREEK,CALAPOOYA CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,78500,OR,1,1,1,1,1,1,1,1,1,104028.95969235488,TRUE,1,1,0,0,1,0,0,0,104028.95969235488,1,0,0,1,0,0,0,0
BLM - BLM_1356,BLM - BLM_1356-WS-1,2004,43.80262,-123.43634,NA,OR,HEADWATERS SMITH RIVER,UPPER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,fishpass_culvimp,310400,OR,1,1,1,1,4,4,1,4,1,411345.0839300249,TRUE,4,1,0,0,4,0,0,0,102836.27098250622,1,0,0,1,0,0,1400.9231279550793,666.0996103832349
