project_id,worksite_id,project_year,county,state,subwatershed,watershed,subbasin,basin,project_source,adj_cost,pure_culv,density_contemp,density_m2_contemp,density_km2_contemp,density_10km2_contemp,density_100km2_contemp,density_cummul,density_m2_cummul,density_km2_cummul,density_10km2_cummul,density_100km2_cummul
BLM - BLM_5007,BLM - BLM_5007-WS-1,2005,NA,OR,DEAN CREEK,LOWER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,98636.0825833169,TRUE,1.1695692373809704e-11,3.871274175731012e-9,0.0038712741757310123,0.3871274175731012,38.71274175731012,1.1695692373809704e-11,3.871274175731012e-9,0.0038712741757310123,0.3871274175731012,38.71274175731012
BLM - BLM_5007,BLM - BLM_5007-WS-2,2005,NA,OR,DEAN CREEK,LOWER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,98636.0825833169,TRUE,1.1695692373809704e-11,3.871274175731012e-9,0.0038712741757310123,0.3871274175731012,38.71274175731012,1.1695692373809704e-11,3.871274175731012e-9,0.0038712741757310123,0.3871274175731012,38.71274175731012
BLM - BLM_5008,BLM - BLM_5008-WS-1,2005,NA,OR,SPENCER CREEK-JOHNSON CREEK,LOWER SMITH RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,131857.4862937891,TRUE,1.2052068778598128e-11,3.9892347657159806e-9,0.0039892347657159806,0.39892347657159805,39.8923476571598,1.2052068778598128e-11,3.9892347657159806e-9,0.0039892347657159806,0.39892347657159805,39.8923476571598
BLM - BLM_5013,BLM - BLM_5013-WS-1,2005,NA,OR,MEHL CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,61687.7128859832,TRUE,1.4933567573485115e-11,4.943010866823573e-9,0.004943010866823573,0.49430108668235734,49.43010866823573,1.4933567573485115e-11,4.943010866823573e-9,0.004943010866823573,0.49430108668235734,49.43010866823573
BLM - BLM_5047,BLM - BLM_5047-WS-1,2005,NA,OR,LOST CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,284475.4582950818,TRUE,1.4368702172680884e-11,4.7560404191573725e-9,0.0047560404191573724,0.47560404191573724,47.560404191573724,1.4368702172680884e-11,4.7560404191573725e-9,0.0047560404191573724,0.47560404191573724,47.560404191573724
BLM - BLM_5047,BLM - BLM_5047-WS-2,2005,NA,OR,LOST CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,284475.4582950818,TRUE,1.4047632406933067e-11,4.649766326694845e-9,0.004649766326694845,0.4649766326694845,46.49766326694845,1.4047632406933067e-11,4.649766326694845e-9,0.004649766326694845,0.4649766326694845,46.49766326694845
BLM - BLM_5048,BLM - BLM_5048-WS-1,2005,NA,OR,UPPER PASS CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,124609.18002968606,TRUE,1.400659030872086e-11,4.636181392186605e-9,0.004636181392186605,0.46361813921866046,46.361813921866045,1.400659030872086e-11,4.636181392186605e-9,0.004636181392186605,0.46361813921866046,46.361813921866045
BLM - BLM_5050,BLM - BLM_5050-WS-1,2005,NA,OR,UPPER NORTH MYRTLE CREEK,MYRTLE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,250088.4138432015,TRUE,1.3529366931394041e-11,4.4782204542914275e-9,0.004478220454291427,0.4478220454291427,44.78220454291427,1.3529366931394041e-11,4.4782204542914275e-9,0.004478220454291427,0.4478220454291427,44.78220454291427
BLM - BLM_5051,BLM - BLM_5051-WS-1,2005,NA,OR,SHIVELY CREEK,SOUTH UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,331527.76129886543,TRUE,1.1635967085958875e-11,3.851505105452388e-9,0.003851505105452388,0.3851505105452388,38.51505105452388,1.1635967085958875e-11,3.851505105452388e-9,0.003851505105452388,0.3851505105452388,38.51505105452388
BLM - BLM_5053,BLM - BLM_5053-WS-1,2005,NA,OR,LOWER SOUTH MYRTLE CREEK,MYRTLE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,264333.1348771231,TRUE,1.3015833744908066e-11,4.30824096956457e-9,0.00430824096956457,0.43082409695645696,43.082409695645694,1.3015833744908066e-11,4.30824096956457e-9,0.00430824096956457,0.43082409695645696,43.082409695645694
