project_id,worksite_id,project_year,county,state,subwatershed,watershed,subbasin,basin,project_source,adj_cost,pure_culv,geometry,id,comid,reachcode,reach_meas,offset,slope,upst_dist
OWRI - OR_1465,OWRI - OR_1465-WS-1,1996,NA,OR,LOST CREEK,UPPER UMPQUA RIVER,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,OWRI,9825.036468671107,TRUE,"c(-123.479865, 43.458434)",1,24528686,17100303001003,55.50359139154178,4.425430943550138e-4,0.15511875,2.97
BLM - BLM_105,BLM - BLM_105-WS-1,2002,NA,OR,COW CREEK-WHITEHORSE CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,31879.70462859575,TRUE,"c(-123.15291, 42.78939)",2,23902865,17100302000971,28.758659992611882,6.338582123253028e-4,0.0762718,2.615
BLM - BLM_107,BLM - BLM_107-WS-1,2002,NA,OR,COW CREEK-DADS CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,55442.964571470875,TRUE,"c(-123.51, 42.78696)",3,23902825,17100302000951,51.99115641517184,3.9612459176702647e-4,0.04315283,2.957
BLM - BLM_108,BLM - BLM_108-WS-1,2002,NA,OR,COW CREEK-DADS CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,55442.964571470875,TRUE,"c(-123.50999, 42.79041)",4,23902825,17100302000951,64.61633122349033,4.5853203885215743e-4,0.04315283,2.957
BLM - BLM_109,BLM - BLM_109-WS-1,2002,NA,OR,COW CREEK-DADS CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,6930.370571433859,TRUE,"c(-123.50375, 42.78942)",5,23902825,17100302000951,57.056872652705096,0.006426908888928169,0.04315283,2.957
BLM - BLM_13,BLM - BLM_13-WS-1,2002,NA,OR,LOWER CAMP CREEK,LAKE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,14355.569601668096,TRUE,"c(-123.78665, 43.5912)",6,24528432,17100303000878,40.206667358734215,3.9446602376927756e-4,0.06341822,1.917
BLM - BLM_1311,BLM - BLM_1311-WS-1,2004,NA,OR,LOWER JUMPOFF JOE CREEK,JUMPOFF JOE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,208458.13270734786,TRUE,"c(-123.47056, 42.57906)",7,23941421,17100310000547,14.727955693029585,5.517705817038359e-4,0.0374622,5.354
BLM - BLM_1323,BLM - BLM_1323-WS-1,2004,NA,OR,COW CREEK-WHITEHORSE CREEK,MIDDLE COW CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,109992.40324159815,TRUE,"c(-123.19181, 42.77748)",8,23902885,17100302000981,7.600266181877686,7.958619365744964e-4,0.07971808,2.704
BLM - BLM_1342,BLM - BLM_1342-WS-1,2004,NA,OR,UPPER NORTH MYRTLE CREEK,MYRTLE CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,135291.98119684335,TRUE,"c(-123.13057, 43.10453)",9,23901991,17100302000544,100,5.653445823142426e-4,0.01426917,13.776
BLM - BLM_1351,BLM - BLM_1351-WS-1,2004,NA,OR,UPPER ELK CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,188179.7742205655,TRUE,"c(-123.16548, 43.62952)",10,24529002,17100303001097,59.37399613887994,0.015686304575341283,0.02235989,7.341
BLM - BLM_1351,BLM - BLM_1351-WS-2,2004,NA,OR,UPPER ELK CREEK,ELK CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,188179.7742205655,TRUE,"c(-123.16387, 43.62949)",11,24529002,17100303001097,77.20556426948653,0.015213260102330897,0.02235989,7.341
BLM - BLM_1352,BLM - BLM_1352-WS-1,2004,NA,OR,OLDHAM CREEK,CALAPOOYA CREEK,SOUTHERN OREGON COASTAL,SOUTHERN OREGON COASTAL,BLM,48462.91791018367,TRUE,"c(-123.21792, 43.49029)",12,24528672,17100303000996,54.52592751469478,7.606855788745932e-4,0.04222071,3.838
