ua_dist,ua_nn_name,uc_dist,uc_nn_name
66610.34745385856,"Eugene, OR Urbanized Area",11978.538481841959,"Sutherlin, OR Urban Cluster"
34870.25764699057,"Grants Pass, OR Urbanized Area",22935.98658476064,"Tri-City--Myrtle Creek, OR Urban Cluster"
28855.688646972667,"Grants Pass, OR Urbanized Area",20802.3056256211,"Tri-City--Myrtle Creek, OR Urban Cluster"
29223.504712450096,"Grants Pass, OR Urbanized Area",20477.366629897395,"Tri-City--Myrtle Creek, OR Urban Cluster"
28980.001922665466,"Grants Pass, OR Urbanized Area",20302.310683931362,"Tri-City--Myrtle Creek, OR Urban Cluster"
68950.9234049589,"Eugene, OR Urbanized Area",27485.785173238783,"Reedsport, OR Urban Cluster"
6694.4573915414985,"Grants Pass, OR Urbanized Area",6694.4573915414985,"Grants Pass, OR Urbanized Area"
31953.79789523003,"Grants Pass, OR Urbanized Area",22193.72599929655,"Tri-City--Myrtle Creek, OR Urban Cluster"
66907.53604707924,"Grants Pass, OR Urbanized Area",13310.93467111361,"Tri-City--Myrtle Creek, OR Urban Cluster"
40369.64574211314,"Eugene, OR Urbanized Area",16419.298202583588,"Cottage Grove, OR Urban Cluster"
40351.678536681946,"Eugene, OR Urbanized Area",16368.893742415852,"Cottage Grove, OR Urban Cluster"
56333.97765179836,"Eugene, OR Urbanized Area",8320.051601432087,"Sutherlin, OR Urban Cluster"
62202.071181296196,"Eugene, OR Urbanized Area",9643.141456681953,"Sutherlin, OR Urban Cluster"
32941.66522060347,"Eugene, OR Urbanized Area",26354.32485909815,"Veneta, OR Urban Cluster"
32522.06305844537,"Eugene, OR Urbanized Area",25844.338285822403,"Veneta, OR Urban Cluster"
33783.933736935796,"Eugene, OR Urbanized Area",27125.422819819752,"Veneta, OR Urban Cluster"
33732.76797101374,"Eugene, OR Urbanized Area",27242.771834516436,"Veneta, OR Urban Cluster"
44261.86954170904,"Grants Pass, OR Urbanized Area",21249.605818130356,"Tri-City--Myrtle Creek, OR Urban Cluster"
44364.282417306356,"Grants Pass, OR Urbanized Area",21353.134008712008,"Tri-City--Myrtle Creek, OR Urban Cluster"
60444.3992501537,"Grants Pass, OR Urbanized Area",25860.110601673176,"Roseburg, OR Urban Cluster"
59291.63883760004,"Grants Pass, OR Urbanized Area",26643.73354494154,"Roseburg, OR Urban Cluster"
60107.65256311637,"Grants Pass, OR Urbanized Area",26725.91277333843,"Roseburg, OR Urban Cluster"
67929.2528887338,"Grants Pass, OR Urbanized Area",17065.56272874754,"Tri-City--Myrtle Creek, OR Urban Cluster"
36064.66989488563,"Eugene, OR Urbanized Area",12614.337255653769,"Cottage Grove, OR Urban Cluster"
62945.034829825985,"Eugene, OR Urbanized Area",40206.74509055347,"Cottage Grove, OR Urban Cluster"
66913.26832202778,"Eugene, OR Urbanized Area",28410.883192048997,"Sutherlin, OR Urban Cluster"
66367.25263060018,"Eugene, OR Urbanized Area",12303.686791922319,"Sutherlin, OR Urban Cluster"
64201.37050164552,"Eugene, OR Urbanized Area",13155.392726132697,"Sutherlin, OR Urban Cluster"
78487.7442529776,"Grants Pass, OR Urbanized Area",18544.687172140166,"Roseburg, OR Urban Cluster"
51602.627684037536,"Eugene, OR Urbanized Area",18046.905860996256,"Sutherlin, OR Urban Cluster"
50368.062114564156,"Eugene, OR Urbanized Area",18726.641306469457,"Sutherlin, OR Urban Cluster"
52754.409764530224,"Eugene, OR Urbanized Area",16572.52182346271,"Sutherlin, OR Urban Cluster"
74298.82193899647,"Eugene, OR Urbanized Area",18621.31109789203,"Sutherlin, OR Urban Cluster"
65211.78389800721,"Eugene, OR Urbanized Area",10757.146741525323,"Sutherlin, OR Urban Cluster"
65379.802375949126,"Eugene, OR Urbanized Area",10735.632178267615,"Sutherlin, OR Urban Cluster"
74817.61703080178,"Grants Pass, OR Urbanized Area",14097.553023250242,"Roseburg, OR Urban Cluster"
79845.10035049717,"Medford, OR Urbanized Area",20781.0009060026,"Roseburg, OR Urban Cluster"
23655.300817551015,"Portland, OR--WA Urbanized Area",11488.9617779862,"Carlton, OR Urban Cluster"
76900.78566532953,"Eugene, OR Urbanized Area",4931.087682146756,"Reedsport, OR Urban Cluster"
77017.92329651317,"Eugene, OR Urbanized Area",5014.051232281374,"Reedsport, OR Urban Cluster"
